U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,
-0.046354,-0.057983,0,1,0.606,0.606,0.5,0.1,0.074234235
-0.046377,-0.058525,0,1,0.607,0.607,0.5,0.1,0.074672631
-0.0464,-0.059066,0,1,0.608,0.608,0.5,0.1,0.075111599
-0.046423,-0.059608,0,1,0.609,0.609,0.5,0.1,0.075552688
-0.046446,-0.060149,0,1,0.61,0.61,0.5,0.1,0.075994297
-0.046466,-0.0607,0,1,0.611,0.611,0.5,0.1,0.076443307
-0.046486,-0.061251,0,1,0.612,0.612,0.5,0.1,0.076893649
-0.046507,-0.061802,0,1,0.613,0.613,0.5,0.1,0.0773459
-0.046527,-0.062353,0,1,0.614,0.614,0.5,0.1,0.077798832
-0.046547,-0.062904,0,1,0.615,0.615,0.5,0.1,0.078253028
-0.046567,-0.063455,0,1,0.616,0.616,0.5,0.1,0.078708465
-0.046587,-0.064006,0,1,0.617,0.617,0.5,0.1,0.079165122
-0.046607,-0.064557,0,1,0.618,0.618,0.5,0.1,0.079622978
-0.046628,-0.065108,0,1,0.619,0.619,0.5,0.1,0.080082595
-0.046648,-0.065659,0,1,0.62,0.62,0.5,0.1,0.080542785
-0.046665,-0.066222,0,1,0.621,0.621,0.5,0.1,0.081012194
-0.046682,-0.066785,0,1,0.622,0.622,0.5,0.1,0.081482792
-0.0467,-0.067348,0,1,0.623,0.623,0.5,0.1,0.081955129
-0.046717,-0.067911,0,1,0.624,0.624,0.5,0.1,0.082428041
-0.046734,-0.068473,0,1,0.625,0.625,0.5,0.1,0.082901257
-0.046752,-0.069036,0,1,0.626,0.626,0.5,0.1,0.083376968
-0.046769,-0.069599,0,1,0.627,0.627,0.5,0.1,0.083853206
-0.046787,-0.070162,0,1,0.628,0.628,0.5,0.1,0.084331071
-0.046804,-0.070725,0,1,0.629,0.629,0.5,0.1,0.084809434
-0.046821,-0.071287,0,1,0.63,0.63,0.5,0.1,0.085287997
-0.046836,-0.071865,0,1,0.631,0.631,0.5,0.1,0.085779888
-0.046851,-0.072442,0,1,0.632,0.632,0.5,0.1,0.086272009
-0.046866,-0.073019,0,1,0.633,0.633,0.5,0.1,0.086765179
-0.04688,-0.073596,0,1,0.634,0.634,0.5,0.1,0.087258843
-0.046895,-0.074173,0,1,0.635,0.635,0.5,0.1,0.087754059
-0.04691,-0.07475,0,1,0.636,0.636,0.5,0.1,0.088250273
-0.046925,-0.075327,0,1,0.637,0.637,0.5,0.1,0.088747465
-0.04694,-0.075904,0,1,0.638,0.638,0.5,0.1,0.089245621
-0.046954,-0.076481,0,1,0.639,0.639,0.5,0.1,0.0897442
-0.046969,-0.077058,0,1,0.64,0.64,0.5,0.1,0.090244237
-0.046982,-0.077653,0,1,0.641,0.641,0.5,0.1,0.090759554
-0.046995,-0.078247,0,1,0.642,0.642,0.5,0.1,0.091274986
-0.047007,-0.078841,0,1,0.643,0.643,0.5,0.1,0.091790856
-0.04702,-0.079435,0,1,0.644,0.644,0.5,0.1,0.092308177
-0.047032,-0.080029,0,1,0.645,0.645,0.5,0.1,0.092825912
-0.047045,-0.080624,0,1,0.646,0.646,0.5,0.1,0.093345923
-0.047058,-0.081218,0,1,0.647,0.647,0.5,0.1,0.093865962
-0.04707,-0.081812,0,1,0.648,0.648,0.5,0.1,0.094386377
-0.047083,-0.082406,0,1,0.649,0.649,0.5,0.1,0.094908154
-0.047096,-0.083,0,1,0.65,0.65,0.5,0.1,0.095430777
-0.047107,-0.083615,0,1,0.651,0.651,0.5,0.1,0.095971546
-0.047118,-0.084229,0,1,0.652,0.652,0.5,0.1,0.096512333
-0.047129,-0.084844,0,1,0.653,0.653,0.5,0.1,0.097054866
-0.04714,-0.085458,0,1,0.654,0.654,0.5,0.1,0.097597384
-0.047151,-0.086072,0,1,0.655,0.655,0.5,0.1,0.098140746
-0.047162,-0.086687,0,1,0.656,0.656,0.5,0.1,0.098685816
-0.047173,-0.087301,0,1,0.657,0.657,0.5,0.1,0.099230824
-0.047184,-0.087915,0,1,0.658,0.658,0.5,0.1,0.099776636
-0.047195,-0.08853,0,1,0.659,0.659,0.5,0.1,0.100324119
-0.047206,-0.089144,0,1,0.66,0.66,0.5,0.1,0.100871498
-0.047216,-0.089782,0,1,0.661,0.661,0.5,0.1,0.101440417
-0.047226,-0.09042,0,1,0.662,0.662,0.5,0.1,0.102010154
-0.047236,-0.091058,0,1,0.663,0.663,0.5,0.1,0.102580695
-0.047246,-0.091696,0,1,0.664,0.664,0.5,0.1,0.103152028
-0.047257,-0.092333,0,1,0.665,0.665,0.5,0.1,0.103723705
-0.047267,-0.092971,0,1,0.666,0.666,0.5,0.1,0.104296578
-0.047277,-0.093609,0,1,0.667,0.667,0.5,0.1,0.104870204
-0.047287,-0.094247,0,1,0.668,0.668,0.5,0.1,0.10544457
-0.047297,-0.094885,0,1,0.669,0.669,0.5,0.1,0.106019665
-0.047307,-0.095522,0,1,0.67,0.67,0.5,0.1,0.106594581
-0.047317,-0.096187,0,1,0.671,0.671,0.5,0.1,0.107195324
-0.047327,-0.096852,0,1,0.672,0.672,0.5,0.1,0.107796822
-0.047337,-0.097516,0,1,0.673,0.673,0.5,0.1,0.108398163
-0.047348,-0.098181,0,1,0.674,0.674,0.5,0.1,0.109001568
-0.047358,-0.098846,0,1,0.675,0.675,0.5,0.1,0.109605255
-0.047368,-0.09951,0,1,0.676,0.676,0.5,0.1,0.110208745
-0.047378,-0.10017,0,1,0.677,0.677,0.5,0.1,0.110809313
-0.047388,-0.10084,0,1,0.678,0.678,0.5,0.1,0.111419604
-0.047398,-0.1015,0,1,0.679,0.679,0.5,0.1,0.112021518
-0.047408,-0.10217,0,1,0.68,0.68,0.5,0.1,0.112633154
